datetime,tempmax,tempmin,temp,feelslike,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,conditions
2021-01-01,24.9,10.8,17.7,17.7,63,0,0,0,,,33.5,1014.5,9.9,389.6,10,Partially cloudy
2021-01-02,33.2,12.2,22.8,22.8,59.7,0,0,0,,,24.1,1014.6,10,379.2,10,Clear
2021-01-03,34.6,17.8,24.7,24.8,63.5,0,0,0,,,27.7,1013.4,9.5,359,10,Partially cloudy
2021-01-04,23.8,17.9,20.6,20.6,87.7,0,0,0,,,24.9,1013,7.4,147.3,5,Overcast
2021-01-05,20.8,18.1,19.3,19.3,94.5,5,100,8.33,rain,,37.1,1013.6,3.5,209.1,6,"Rain, Overcast"
2021-01-06,21.9,17,19.5,19.5,95.1,47.4,100,16.67,rain,63,61.2,1008,4.8,130.2,3,"Rain, Overcast"
2021-01-07,23.1,16.8,19.2,19.2,87.1,4.3,100,8.33,rain,44.6,29.5,1003.2,9.1,359.8,10,"Rain, Partially cloudy"
2021-01-08,21,13.1,17.9,17.9,70.7,0,0,0,,40.7,24.1,1011.6,9.9,336.8,10,Partially cloudy
2021-01-09,27.1,9,17.7,17.7,74.2,0,0,0,,,33.5,1012.3,9.3,378.8,10,Partially cloudy
2021-01-10,29.8,16.1,21.9,22,74.6,0,0,0,,48.2,37.1,1010.1,9.6,351.9,10,Partially cloudy
2021-01-11,25.8,15.8,20.3,20.3,73.8,20,100,8.33,rain,42.5,31.7,1006.7,8.3,166.3,5,"Rain, Partially cloudy"
2021-01-12,22.3,8.2,16.7,16.5,53.9,0,0,0,,,20.5,1017.8,10,393.1,10,Clear
2021-01-13,25.8,11.2,18.1,18.1,61.7,0,0,0,,,27.7,1022.2,10,384,10,Clear
2021-01-14,23.8,14.2,19.6,19.6,66.8,0,0,0,,,51.8,1020.8,10,337.2,10,Partially cloudy
2021-01-15,27,18.9,21.9,21.9,72.5,0,0,0,,,33.5,1010.3,10,260.3,8,Partially cloudy
2021-01-16,27.1,17.8,20.2,20.3,87.1,5,100,4.17,rain,37.1,38.9,1005.7,6.9,286,9,"Rain, Partially cloudy"
2021-01-17,19.8,15.1,17,17,81.5,5.6,100,12.5,rain,50,25.9,1006.1,8,136.3,5,"Rain, Partially cloudy"
2021-01-18,31.1,8.5,20.8,20.5,62.1,0,0,0,,42.5,31.7,1011.4,9.9,377.1,10,Clear
2021-01-19,29,15.7,21.1,21.1,67.9,0,0,0,,,24.1,1016.1,10,375.8,10,Clear
2021-01-20,30,14.1,22.2,22.4,80.2,0,0,0,,,25.9,1019,9.6,366.9,10,Clear
2021-01-21,31,18.3,23.5,24.1,80.8,0,0,0,,,25.9,1020.4,8.5,367.1,10,Clear
2021-01-22,31.9,19.1,23.8,24.1,78.7,0,0,0,,,27.7,1020.3,8,369.9,10,Clear
2021-01-23,32.2,19.9,25,25.9,80.6,0,0,0,,,25.9,1015.3,7.4,365.8,10,Partially cloudy
2021-01-24,32,19.8,24.5,25.2,83.3,0,0,0,,,27.7,1012.4,7.8,354.7,10,Partially cloudy
2021-01-25,34.1,21.1,26.4,27.6,75.9,0,0,0,,,29.5,1006.6,8.3,351.3,10,Partially cloudy
2021-01-26,27.4,19.2,22.5,22.6,86.8,0,0,0,,,18.4,1004.3,7.1,133.2,4,Overcast
2021-01-27,22.7,17.2,19.8,19.8,68.7,0,0,0,,,27.7,1007.1,10,367.2,10,Partially cloudy
2021-01-28,27.8,14.9,20.9,21,73.8,5,100,4.17,rain,,24.1,1005.8,9.3,328.9,10,"Rain, Partially cloudy"
2021-01-29,29.1,16.9,22.6,22.4,61.8,0.1,100,4.17,rain,,22.3,1003.4,9.3,301.5,10,"Rain, Partially cloudy"
